ds;y
2017-01-02;528320.2974145648
2017-01-03;448293.29308414564
2017-01-04;561406.0684501416
2017-01-05;445570.16455348226
2017-01-06;498282.8869379137
2017-01-07;627704.0042857327
2017-01-08;523040.64240925235
2017-01-09;448616.76642241364
2017-01-10;459044.24232537625
2017-01-11;576857.6385107042
2017-01-12;453039.920074157
2017-01-13;477216.2062502921
2017-01-14;668018.8125647745
2017-01-15;508571.6002676866
2017-01-16;437836.33496594615
2017-01-17;431217.93034957093
2017-01-18;540189.9957443086
2017-01-19;423089.72902547335
2017-01-20;458725.81314192753
2017-01-21;647903.5735010277
2017-01-22;501244.07638453145
2017-01-23;412625.26265383593
2017-01-24;421819.9645126001
2017-01-25;511711.3064118745
2017-01-26;413060.13257592934
2017-01-27;445562.6273106489
2017-01-28;601239.1502808089
2017-01-29;469530.71164820826
2017-01-30;409482.30003421864
2017-01-31;415901.3059251223
2017-02-01;477000.5251476739
2017-02-02;416730.7601726775
2017-02-03;450243.8735506461
2017-02-04;629407.3341979013
2017-02-05;496527.7916284905
2017-02-06;415727.17628940643
2017-02-07;427692.8005289033
2017-02-08;497961.05633205816
2017-02-09;435436.20628009073
2017-02-10;493854.03203838615
2017-02-11;691159.0467346637
2017-02-12;544292.6909549172
2017-02-13;461768.92662026547
2017-02-14;439172.0117010845
2017-02-15;559115.4133848759
2017-02-16;503936.90133375156
2017-02-17;550355.1852597997
2017-02-18;649291.6340738584
2017-02-19;505080.0498301551
2017-02-20;437823.43468494277
2017-02-21;438465.39518545044
2017-02-22;665606.662942913
2017-02-23;434520.0060980282
2017-02-24;453854.5993931323
2017-02-25;835497.1503635184
2017-02-26;500999.14498184045
2017-02-27;437543.61937631766
2017-02-28;428389.61862885393
2017-03-01;665399.6496695534
2017-03-02;431626.5455424611
2017-03-03;460885.2235505732
2017-03-04;826234.6133192534
2017-03-05;524167.3635815317
2017-03-06;422344.3150355108
2017-03-07;436348.7537983186
2017-03-08;625542.0234840183
2017-03-09;450667.6405342579
2017-03-10;532433.0519454166
2017-03-11;908501.7828510861
2017-03-12;578440.7300734158
2017-03-13;468964.0366078482
2017-03-14;469654.64131402713
2017-03-15;743072.0579913366
2017-03-16;481027.8865824757
2017-03-17;520364.0225321241
2017-03-18;936293.1915946936
2017-03-19;594499.2897603653
2017-03-20;491092.3089591629
2017-03-21;471541.49342605774
2017-03-22;785445.3645932426
2017-03-23;491404.4571069171
2017-03-24;545415.2666436383
2017-03-25;916298.8189839729
2017-03-26;564556.9161853384
2017-03-27;481367.0335205845
2017-03-28;461397.63044253254
2017-03-29;755340.8436659786
2017-03-30;500350.2656789369
2017-03-31;544863.6564258132
2017-04-01;868430.5144837504
2017-04-02;579472.6945748943
2017-04-03;501821.9896472187
2017-04-04;490777.3681663076
2017-04-05;773535.9604547777
2017-04-06;523797.0337169826
2017-04-07;597231.3566879786
2017-04-08;1014751.6570389486
2017-04-09;630840.2606918545
2017-04-10;558933.65953814
2017-04-11;563838.5203119942
2017-04-12;827562.7818009538
2017-04-13;581574.1551819091
2017-04-14;648816.8457541433
2017-04-15;842177.2057610183
2017-04-17;434243.8337901059
2017-04-18;517100.6766160724
2017-04-19;715253.5151735287
2017-04-20;518505.75396406936
2017-04-21;550423.348991783
2017-04-22;934162.5676557925
2017-04-23;602352.8745407665
2017-04-24;501973.5655332253
2017-04-25;491909.8872176896
2017-04-26;757739.5615345857
2017-04-27;516483.4923855966
2017-04-28;549528.2627527859
2017-04-29;972011.615257537
2017-04-30;675034.7390986905
2017-05-01;569182.4544702912
2017-05-02;528154.0722206922
2017-05-03;703286.0742652464
2017-05-04;479892.3912864877
2017-05-05;572496.1742926128
2017-05-06;880383.0451796075
2017-05-07;528286.2928536278
2017-05-08;530403.7459438341
2017-05-09;511231.71551563614
2017-05-10;791867.7912328168
2017-05-11;558093.5468561677
2017-05-12;645617.79831734
2017-05-13;987843.9417019016
2017-05-14;687831.218739859
2017-05-15;573256.4791687373
2017-05-16;566467.8584850406
2017-05-17;855809.1501177453
2017-05-18;578340.8712690047
2017-05-19;668794.9843033765
2017-05-20;954483.5541226284
2017-05-21;652275.1646812847
2017-05-22;573762.4504148926
2017-05-23;569922.3218225788
2017-05-24;856666.6950895528
2017-05-25;572022.7678007507
2017-05-26;602911.6161498877
2017-05-27;936114.8101809691
2017-05-28;617370.8405495064
2017-05-29;542804.7329251481
2017-05-30;492655.9872900126
2017-05-31;796836.8055389418
2017-06-01;506723.58428251167
2017-06-02;589385.6763494207
2017-06-03;942156.8283094873
2017-06-04;582746.5636415172
2017-06-05;562971.969301314
2017-06-06;554079.3755963244
2017-06-07;853002.9669689366
2017-06-08;573924.5397883387
2017-06-09;646956.7025385122
2017-06-10;996965.3970213358
2017-06-11;658559.5534825571
2017-06-12;588776.4835289746
2017-06-13;568648.0253008737
2017-06-14;920054.2308994654
2017-06-15;595342.4366657346
2017-06-16;654849.9448119752
2017-06-17;992239.2365445568
2017-06-18;630436.4577386195
2017-06-19;567291.34091712
2017-06-20;567736.4054433022
2017-06-21;892216.9416058924
2017-06-22;599444.1559000277
2017-06-23;637573.1444311113
2017-06-24;858779.2006562582
2017-06-25;609396.3023478924
2017-06-26;592950.9758091377
2017-06-27;554077.1047603426
2017-06-28;870916.9059475214
2017-06-29;519778.7169735809
2017-06-30;596102.1617539488
2017-07-01;924376.9846114147
2017-07-02;635679.6247581127
2017-07-03;594775.0948692778
2017-07-04;590364.5805939782
2017-07-05;995605.1372788022
2017-07-06;611882.6841485313
2017-07-07;731739.8713700665
2017-07-08;830234.3671863946
2017-07-09;598003.2959748356
2017-07-10;630445.657040129
2017-07-11;598806.8626921976
2017-07-12;1042755.7803037001
2017-07-13;633544.6330836208
2017-07-14;687719.9864292749
2017-07-15;910779.450667162
2017-07-16;656707.6432552517
2017-07-17;699364.8526705501
2017-07-18;677566.6535765487
2017-07-19;1054102.3166757491
2017-07-20;675872.5422921533
2017-07-21;688165.5824277081
2017-07-22;814353.039000481
2017-07-23;596160.6140384353
2017-07-24;639367.6846446961
2017-07-25;624782.5979528909
2017-07-26;961424.504416615
2017-07-27;637391.0813641567
2017-07-28;661285.3103850804
2017-07-29;795837.5314124702
2017-07-30;577839.9635039323
2017-07-31;630892.0840679003
2017-08-01;600792.9744944654
2017-08-02;958718.4603030408
2017-08-03;629318.8972153224
2017-08-04;630866.5830629806
2017-08-05;816677.7759317384
2017-08-06;642404.2851721754
2017-08-07;640645.4888832584
2017-08-08;617972.7860210742
2017-08-09;955539.212623373
2017-08-10;630220.7959622651
2017-08-11;687189.4418388561
2017-08-12;794136.6945883158
2017-08-13;667951.5764934476
2017-08-14;802494.9847446015
2017-08-15;608037.8399478806
2017-08-16;891599.4868077252
2017-08-17;639365.2688617366
2017-08-18;661821.3726237783
2017-08-19;829195.1166835106
2017-08-20;644748.0488100215
2017-08-21;631985.4481090759
2017-08-22;611800.5765173062
2017-08-23;918022.1032633863
2017-08-24;617353.0313975294
2017-08-25;617838.4008466068
2017-08-26;893244.4030879346
2017-08-27;637587.1173197487
2017-08-28;600003.486960191
2017-08-29;576840.9696082841
2017-08-30;842130.8903701201
2017-08-31;550276.082862576
2017-09-01;557969.134033757
2017-09-02;917975.5559573239
2017-09-03;632843.6405107164
2017-09-04;553453.359263349
2017-09-05;508903.80907713587
2017-09-06;790996.3603405583
2017-09-07;520227.9752989806
2017-09-08;576018.6370888932
2017-09-09;877799.558567131
2017-09-10;612326.3765099925
2017-09-11;549613.4239336719
2017-09-12;556565.1389565258
2017-09-13;806361.4936868326
2017-09-14;546753.426803659
2017-09-15;621222.961088431
2017-09-16;916323.7788535096
2017-09-17;678427.5903076314
2017-09-18;548858.5690639039
2017-09-19;547422.6469990809
2017-09-20;799969.0420822189
2017-09-21;538628.1437453764
2017-09-22;583942.6661003915
2017-09-23;874564.5932692868
2017-09-24;619050.1865684537
2017-09-25;509430.043910755
2017-09-26;491544.4179084548
2017-09-27;745784.1318991776
2017-09-28;496857.5749918486
2017-09-29;545025.3496108539
